City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,khandyga,62.6667,135.6,7.52,96,100,0.57,RU,1725294548
1,paredon,16.0333,-93.8667,29.27,68,97,1.82,MX,1725294549
2,tazovsky,67.4667,78.7,6.84,94,100,4.16,RU,1725294550
3,puerto ayora,-0.7393,-90.3518,21.97,80,93,0.89,EC,1725294551
4,south venice,27.0531,-82.4243,30.01,36,20,7.72,US,1725294552
5,udachny,66.4167,112.4,12.33,70,100,3.51,RU,1725294254
6,blackmans bay,-43.0167,147.3167,6.07,81,38,0.45,AU,1725294554
7,albany,42.6001,-73.9662,21.83,57,9,2.68,US,1725294263
8,waitangi,-43.9535,-176.5597,12.12,91,66,3.58,NZ,1725294557
9,kapuskasing,49.4169,-82.4331,16.05,51,75,6.17,CA,1725294302
10,kasson,44.03,-92.7507,21.36,51,0,0.45,US,1725294559
11,edinburgh of the seven seas,-37.0676,-12.3116,8.73,66,95,12.84,SH,1725294560
12,port-aux-francais,-49.35,70.2167,0.61,59,100,10.92,TF,1725294561
13,grytviken,-54.2811,-36.5092,3.64,94,99,6.37,GS,1725294562
14,adamstown,-25.066,-130.1015,17.76,53,98,5.16,PN,1725294563
15,bredasdorp,-34.5322,20.0403,20.73,61,10,1.36,ZA,1725294564
16,kodiak,57.79,-152.4072,9.73,93,100,2.06,US,1725294565
17,iskushuban,10.2837,50.23,36.63,22,64,5.06,SO,1725294566
18,ad dana,36.2125,36.7698,26.14,52,0,5.89,SY,1725294568
19,papatowai,-46.5619,169.4708,8.36,93,48,7.05,NZ,1725294569
20,hermanus,-34.4187,19.2345,21.0,63,38,0.8,ZA,1725294570
21,garhwa,24.1833,83.8167,26.42,80,13,2.39,IN,1725294571
22,port alfred,-33.5906,26.891,18.43,81,4,3.13,ZA,1725294572
23,de haan,51.272,3.0429,25.69,68,43,3.58,BE,1725294573
24,alice springs,-23.7,133.8833,16.75,42,0,3.6,AU,1725294574
25,yaren,-0.5472,166.916,27.89,76,100,4.33,NR,1725294575
26,coahuayana de hidalgo,18.7,-103.6583,27.82,77,99,0.4,MX,1725294576
27,trairi,-3.2778,-39.2689,29.64,49,80,7.14,BR,1725294284
28,hasaki,35.7333,140.8333,26.85,87,85,7.86,JP,1725294579
29,'ain el turk,35.7438,-0.7693,29.38,65,20,6.17,DZ,1725294580
30,tiksi,71.6872,128.8694,3.1,94,6,2.43,RU,1725294581
31,ola,59.5833,151.2833,8.65,89,79,3.51,RU,1725294582
32,cova figueira,14.8905,-24.2934,20.81,84,89,4.9,CV,1725294583
33,akwanga,8.9167,8.3833,26.72,75,64,2.27,NG,1725294584
